uid,isbn,rating
2,0195153448,5
123629,0002005018,9
169187,0374157065,1
198013,0399135782,7
212449,0399135782,8
248583,0399135782,9
252921,0399135782,8
9,0440234743,7
12923,0440234743,10
20435,0440234743,8
20783,0440234743,7
21264,0440234743,5
28123,0440234743,9
31299,0440234743,10
64605,0440234743,7
72912,0440234743,7
78754,0440234743,8
82114,0440234743,9
93055,0440234743,7
93772,0440234743,9
94139,0440234743,8
105624,0440234743,7
110127,0440234743,5
116127,0440234743,8
119332,0440234743,8
128463,0440234743,7
131681,0440234743,9
131703,0440234743,9
132144,0440234743,9
136096,0440234743,8
136707,0440234743,6
146816,0440234743,10
148879,0440234743,7
150400,0440234743,10
165842,0440234743,7
170580,0440234743,8
192621,0440234743,7
195347,0440234743,7
208607,0440234743,8
211321,0440234743,8
213733,0440234743,7
225826,0440234743,7
228187,0440234743,8
229609,0440234743,8
246550,0440234743,7
249954,0440234743,7
259846,0440234743,10
261378,0440234743,8
274167,0440234743,8
9,0452264464,6
6026,0452264464,8
27624,0452264464,8
35904,0452264464,6
36197,0452264464,8
60609,0452264464,6
68080,0452264464,8
73801,0452264464,8
95392,0452264464,5
102327,0452264464,8
113117,0452264464,8
134541,0452264464,8
150970,0452264464,6
153577,0452264464,8
169862,0452264464,8
240353,0452264464,9
241579,0452264464,8
244643,0452264464,6
9,0609804618,4
160843,0609804618,6
254982,1841721522,10
12,1879384493,10
64632,1879384493,8
14,0061076031,5
14,0439095026,5
14,0689821166,6
14,0971880107,4
193,0971880107,4
569,0971880107,6
970,0971880107,4
1140,0971880107,4
1486,0971880107,5
2268,0971880107,4
2830,0971880107,4
4243,0971880107,4
4285,0971880107,4
4784,0971880107,2
5126,0971880107,5
5581,0971880107,4
6095,0971880107,4
7515,0971880107,4
8361,0971880107,2
8685,0971880107,4
9260,0971880107,4
9642,0971880107,4
9979,0971880107,4
10494,0971880107,3
10730,0971880107,4
11768,0971880107,8
12264,0971880107,7
13088,0971880107,6
13479,0971880107,4
13891,0971880107,4
14015,0971880107,4
14203,0971880107,4
14212,0971880107,4
14288,0971880107,4
15439,0971880107,4
15523,0971880107,6
15982,0971880107,4
17201,0971880107,4
17890,0971880107,4
18039,0971880107,4
18199,0971880107,4
18542,0971880107,4
19117,0971880107,4
20911,0971880107,4
23021,0971880107,10
23296,0971880107,6
24261,0971880107,6
24307,0971880107,4
25335,0971880107,4
25419,0971880107,4
25768,0971880107,4
26354,0971880107,4
26806,0971880107,9
26979,0971880107,2
27568,0971880107,4
27795,0971880107,4
28262,0971880107,8
28589,0971880107,4
28800,0971880107,7
29446,0971880107,4
29573,0971880107,4
31771,0971880107,4
33535,0971880107,3
33875,0971880107,10
34936,0971880107,4
34994,0971880107,5
35513,0971880107,8
35823,0971880107,4
35980,0971880107,4
36041,0971880107,3
36400,0971880107,6
36417,0971880107,3
36656,0971880107,8
36701,0971880107,4
37024,0971880107,4
37074,0971880107,8
37078,0971880107,4
37550,0971880107,3
37615,0971880107,1
38127,0971880107,4
38850,0971880107,4
38937,0971880107,4
39654,0971880107,4
39658,0971880107,4
40077,0971880107,4
40754,0971880107,4
40919,0971880107,5
41278,0971880107,5
41281,0971880107,4
41771,0971880107,4
42032,0971880107,2
42128,0971880107,2
42434,0971880107,4
42679,0971880107,4
42745,0971880107,4
42973,0971880107,4
43138,0971880107,4
44287,0971880107,4
44395,0971880107,6
44768,0971880107,7
45031,0971880107,4
45307,0971880107,4
47037,0971880107,5
47367,0971880107,4
47853,0971880107,4
49634,0971880107,4
49954,0971880107,1
50325,0971880107,4
50409,0971880107,4
50521,0971880107,4
50605,0971880107,4
50861,0971880107,4
51459,0971880107,9
52092,0971880107,4
53001,0971880107,4
53472,0971880107,4
53799,0971880107,4
54118,0971880107,7
54148,0971880107,2
54154,0971880107,4
54261,0971880107,4
54395,0971880107,4
54693,0971880107,4
56103,0971880107,4
57030,0971880107,6
57039,0971880107,5
57253,0971880107,4
57367,0971880107,6
57706,0971880107,9
57868,0971880107,2
57965,0971880107,4
58077,0971880107,9
58162,0971880107,4
58576,0971880107,4
58710,0971880107,4
58736,0971880107,4
59246,0971880107,4
59756,0971880107,6
59792,0971880107,4
59994,0971880107,7
60391,0971880107,4
60535,0971880107,4
60548,0971880107,4
60633,0971880107,8
61361,0971880107,4
61602,0971880107,4
61982,0971880107,6
63970,0971880107,8
64819,0971880107,4
65510,0971880107,4
66096,0971880107,4
66746,0971880107,4
67244,0971880107,4
67669,0971880107,6
67704,0971880107,5
67804,0971880107,4
67994,0971880107,2
70832,0971880107,4
71464,0971880107,1
71806,0971880107,4
72030,0971880107,8
73238,0971880107,4
73260,0971880107,6
73445,0971880107,4
73515,0971880107,4
73782,0971880107,8
73911,0971880107,4
73940,0971880107,8
74640,0971880107,4
74903,0971880107,5
76413,0971880107,7
76436,0971880107,4
76901,0971880107,7
78637,0971880107,8
78991,0971880107,4
79738,0971880107,3
81100,0971880107,4
81323,0971880107,4
81399,0971880107,4
83175,0971880107,4
83407,0971880107,4
83469,0971880107,5
83490,0971880107,4
83579,0971880107,8
83749,0971880107,4
84004,0971880107,4
85488,0971880107,6
85652,0971880107,4
85667,0971880107,7
86147,0971880107,4
87024,0971880107,4
87649,0971880107,2
87794,0971880107,4
88074,0971880107,4
88142,0971880107,9
88998,0971880107,4
89771,0971880107,4
90235,0971880107,4
90318,0971880107,4
90361,0971880107,4
90609,0971880107,4
91074,0971880107,3
92722,0971880107,1
93502,0971880107,4
93578,0971880107,4
93717,0971880107,4
94128,0971880107,4
94129,0971880107,9
95264,0971880107,4
98458,0971880107,4
