uid,location,age
1,usa,40.0
2,usa,18.0
3,russia,23.0
4,portugal,17.0
5,united kingdom,39.0
6,usa,61.0
9,usa,29.0
11,australia,14.0
12,usa,44.0
13,spain,26.0
14,usa,45.0
15,canada,55.0
16,usa,21.0
18,brazil,25.0
19,usa,14.0
20,usa,19.0
21,spain,46.0
23,usa,46.0
24,germany,19.0
25,usa,55.0
26,usa,75.0
27,usa,32.0
28,germany,24.0
29,mexico,19.0
30,usa,24.0
31,china,20.0
33,usa,34.0
34,united kingdom,51.0
35,usa,17.0
36,canada,24.0
37,spain,23.0
40,usa,32.0
41,usa,14.0
42,usa,17.0
43,distrito federal,37.0
44,usa,51.0
45,germany,37.0
46,germany,31.0
47,italy,21.0
48,usa,34.0
49,italy,36.0
50,united kingdom,17.0
51,usa,34.0
52,germany,22.0
54,usa,44.0
55,canada,37.0
57,italy,40.0
58,canada,25.0
59,usa,23.0
60,italy,60.0
61,usa,30.0
62,usa,41.0
63,usa,57.0
65,australia,32.0
66,canada,30.0
68,canada,23.0
71,canada,24.0
72,united kingdom,34.0
73,usa,24.0
74,netherlands,30.0
75,usa,37.0
76,usa,64.0
77,canada,32.0
79,canada,20.0
80,canada,18.0
81,usa,48.0
82,usa,22.0
84,usa,25.0
88,usa,66.0
89,usa,54.0
90,usa,42.0
91,egypt,32.0
93,usa,50.0
94,iraq,39.0
95,usa,22.0
96,finland,28.0
97,usa,31.0
98,new zealand,19.0
101,india,26.0
103,usa,53.0
104,usa,47.0
105,united kingdom,36.0
106,usa,65.0
107,canada,24.0
108,usa,51.0
110,usa,63.0
111,portugal,25.0
112,mexico,32.0
113,usa,34.0
115,usa,21.0
116,usa,14.0
117,usa,57.0
118,ghana,28.0
119,usa,35.0
120,france,13.0
121,usa,46.0
122,usa,29.0
123,usa,24.0
124,usa,58.0
125,usa,49.0
126,netherlands,24.0
127,switzerland,28.0
128,usa,37.0
129,usa,47.0
130,italy,36.0
131,usa,24.0
134,australia,18.0
136,usa,42.0
138,usa,28.0
140,germany,24.0
141,usa,34.0
142,usa,35.0
143,usa,26.0
144,usa,62.0
145,united kingdom,45.0
146,usa,34.0
147,usa,37.0
148,united kingdom,63.0
149,slovenia,30.0
150,iran,25.0
151,australia,23.0
152,netherlands,26.0
153,france,24.0
154,canada,28.0
155,peru,35.0
156,bosnia and herzegovina,20.0
157,italy,36.0
158,germany,38.0
159,usa,18.0
161,portugal,27.0
163,vietnam,34.0
164,mexico,33.0
166,australia,20.0
167,usa,54.0
168,usa,44.0
169,usa,51.0
170,usa,33.0
171,brazil,29.0
172,brazil,66.0
173,usa,58.0
174,sri lanka,31.0
175,portugal,14.0
177,netherlands,46.0
178,usa,28.0
179,pakistan,28.0
180,denmark,50.0
181,pakistan,32.0
184,usa,29.0
186,usa,16.0
187,usa,29.0
188,usa,17.0
189,belgium,31.0
190,belgium,33.0
191,germany,40.0
192,usa,22.0
193,india,23.0
194,usa,13.0
195,usa,23.0
196,malaysia,33.0
197,canada,16.0
198,germany,21.0
200,united kingdom,27.0
201,u.a.e,75.0
203,usa,52.0
205,turkey,23.0
206,france,60.0
207,usa,49.0
208,germany,23.0
209,malaysia,21.0
210,usa,54.0
211,spain,21.0
212,philippines,21.0
213,usa,22.0
214,usa,27.0
215,canada,20.0
216,spain,42.0
217,usa,47.0
218,india,41.0
219,greece,74.0
220,colombia,50.0
222,usa,46.0
223,pakistan,40.0
225,usa,22.0
226,usa,20.0
227,united kingdom,26.0
228,usa,41.0
229,india,22.0
231,india,21.0
234,finland,25.0
235,portugal,22.0
238,united kingdom,23.0
239,usa,25.0
240,australia,20.0
241,usa,52.0
245,usa,31.0
246,norway,16.0
248,canada,15.0
251,spain,54.0
252,kuwait,65.0
253,italy,28.0
255,chile,32.0
256,usa,75.0
258,lj,15.0
259,usa,45.0
260,usa,51.0
261,germany,45.0
262,usa,28.0
263,usa,35.0
264,taiwan,23.0
265,china,24.0
266,canada,35.0
267,usa,29.0
268,århus,56.0
270,germany,28.0
271,pakistan,22.0
273,usa,55.0
274,italy,26.0
275,canada,21.0
276,usa,14.0
277,australia,15.0
278,usa,21.0
279,united kingdom,29.0
280,usa,26.0
281,germany,31.0
282,canada,21.0
283,usa,52.0
284,spain,35.0
285,united kingdom,35.0
286,usa,17.0
287,usa,14.0
288,usa,19.0
289,usa,15.0
290,usa,36.0
292,usa,22.0
293,canada,25.0
294,usa,63.0
295,usa,28.0
296,spain,21.0
297,usa,27.0
298,usa,21.0
299,france,42.0
300,usa,37.0
301,usa,32.0
302,usa,53.0
303,usa,22.0
304,usa,24.0
305,usa,43.0
306,usa,19.0
307,finland,27.0
308,españa,53.0
309,united kingdom,30.0
312,spain,35.0
314,denmark,28.0
315,sweden,49.0
317,usa,41.0
318,usa,22.0
319,denmark,32.0
320,usa,37.0
321,pakistan,24.0
322,norway,39.0
324,philippines,27.0
325,switzerland,15.0
327,usa,20.0
328,usa,33.0
329,pakistan,21.0
330,philippines,54.0
331,argentina,60.0
332,usa,59.0
333,spain,23.0
335,italy,27.0
336,spain,27.0
338,usa,29.0
340,philippines,15.0
341,france,50.0
342,nigeria,28.0
343,usa,19.0
344,united kingdom,25.0
345,usa,27.0
346,canada,29.0
347,canada,34.0
348,usa,26.0
349,denmark,46.0
350,italy,32.0
351,turkey,35.0
352,usa,28.0
353,spain,41.0
354,brazil,56.0
355,london,19.0
358,usa,42.0
360,spain,33.0
363,germany,18.0
365,italy,78.0
366,bulgaria,37.0
367,usa,45.0
368,usa,35.0
370,usa,26.0
371,mexico,33.0
373,austria,39.0
374,germany,45.0
375,germany,28.0
377,malaysia,39.0
378,usa,57.0
379,canada,47.0
380,usa,29.0
381,usa,33.0
385,france,20.0
386,iran,20.0
389,spain,22.0
390,usa,48.0
391,usa,67.0
394,united kingdom,25.0
395,spain,24.0
396,sweden,49.0
397,portugal,50.0
398,new zealand,39.0
399,nigeria,41.0
400,usa,38.0
401,argentina,28.0
402,united kingdom,19.0
403,usa,21.0
404,usa,37.0
405,germany,32.0
407,pakistan,22.0
409,portugal,50.0
410,united kingdom,40.0
411,usa,27.0
412,usa,35.0
414,usa,34.0
415,usa,37.0
416,usa,31.0
417,usa,25.0
418,usa,59.0
419,usa,14.0
420,australia,14.0
421,usa,47.0
422,canada,23.0
423,united kingdom,35.0
425,canada,32.0
426,usa,18.0
427,australia,50.0
428,usa,35.0
429,usa,25.0
434,usa,52.0
435,usa,24.0
436,australia,53.0
437,canada,33.0
439,usa,53.0
442,united kingdom,24.0
443,usa,47.0
445,usa,23.0
448,usa,22.0
449,usa,24.0
450,italy,31.0
451,usa,33.0
452,usa,22.0
453,usa,28.0
454,united kingdom,50.0
455,canada,54.0
456,usa,31.0
457,united kingdom,62.0
458,usa,17.0
459,usa,37.0
461,singapore,15.0
462,usa,18.0
464,india,24.0
465,usa,20.0
466,usa,25.0
467,usa,16.0
468,usa,21.0
469,usa,18.0
470,usa,30.0
471,australia,31.0
473,philippines,25.0
474,usa,25.0
475,canada,34.0
477,usa,45.0
478,usa,13.0
479,usa,33.0
480,usa,62.0
481,usa,28.0
482,usa,46.0
484,usa,17.0
485,usa,51.0
488,usa,25.0
490,usa,36.0
491,canada,26.0
492,usa,60.0
495,usa,52.0
496,usa,51.0
497,usa,51.0
498,usa,29.0
502,usa,47.0
504,usa,29.0
506,canada,23.0
509,usa,22.0
510,usa,21.0
511,usa,31.0
512,usa,58.0
513,usa,57.0
514,usa,30.0
515,usa,24.0
