uid,isbn,cluster,summary
2,0195153448,3,provides introduction classical myths placing addressed topics historical context discussion archaeological evidence support mythical events themes portrayed literature art
169187,0374157065,3,describes great flu epidemic 1918 outbreak killed forty million worldwide discusses efforts scientists public health officials understand prevent lethal pandemic
169187,155704256X,3,a story love binds generations dad celebrates universe possibilities individual life
248583,0399135782,0,a chinese immigrant convinced dying threatens celebrate chinese new year unburdening everybody hidden truths prompting series comic misunderstandings
248583,0394742591,0,flannery o39connor warm funny candid letters friends literary figures fellow southerners editors offer illuminating self-portrait writer
248583,0395445256,0,looks history gramercy park section new york describes origins includes profiles american authors formed part community
9,0609804618,3,the staff the onion presents satirical collection mock headlines news stories including account pentagon development a-bomb-resistant desk schoolchildren
160843,0609804618,3,the staff the onion presents satirical collection mock headlines news stories including account pentagon development a-bomb-resistant desk schoolchildren
64632,1879384493,3,provides advice ways succeed business finance careers dating marriage school
116993,0971880107,1,wild animus search primordial test human foundations journey breaking point
23918,0425099148,3,when madame giselle well-known parisian moneylender poisoned aboard air liner prometheus passengers murder suspects
91839,0425099148,3,when madame giselle well-known parisian moneylender poisoned aboard air liner prometheus passengers murder suspects
185483,0425099148,0,when madame giselle well-known parisian moneylender poisoned aboard air liner prometheus passengers murder suspects
13594,0684823802,3,dr ransom abducted eerie red planet malacandra escape flight endanger life chances returning earth
128690,0061099686,2,her job writer city downtown magazine introduces unforgettable propels center momentous events irrevocably alter heart career world
128690,0553280945,2,ayla jondalar embark journey takes mamutoi mammoth hunters ayla make fateful choice -- jondalar ranec mamutoi master carver -- story ice age europe
91745,0671888587,3,a young news reporter assignment large metropolitan hospital horrified sees young jane doe paramedics failed save identical
164338,0671888587,3,a young news reporter assignment large metropolitan hospital horrified sees young jane doe paramedics failed save identical
250295,0671888587,3,a young news reporter assignment large metropolitan hospital horrified sees young jane doe paramedics failed save identical
91745,0553295608,3,the murder journalist leads exposure family secret loss love inspector thomas lynley brought fiance home picturesque cornwall village
209187,0553295608,3,the murder journalist leads exposure family secret loss love inspector thomas lynley brought fiance home picturesque cornwall village
215202,0553295608,0,the murder journalist leads exposure family secret loss love inspector thomas lynley brought fiance home picturesque cornwall village
216453,0553295608,0,the murder journalist leads exposure family secret loss love inspector thomas lynley brought fiance home picturesque cornwall village
91745,0451124995,3,attorney michael atwood divorced father joins divorcee cat holzman gale murray deeply troubled boy trapped parents law despair
91745,0451188519,3,more information announced forthcoming title penguin usa
91745,0553252291,3,fiction - uk - practice
164338,1558504443,3,provides overviews sixty cultures describes behavior negotiating techniques business practices country
44,0812523873,0,new millennium born fire the southwest parched global warming someone discovered humans transmit psychic brainwaves hundreds thousands miles
36442,0380715899,3,encountering younger road italy seventy-something professor alessandro guiliani recounts experiences spinning love loss tragedy madmen dwarves mafiosi reprint
91736,0380715899,3,encountering younger road italy seventy-something professor alessandro guiliani recounts experiences spinning love loss tragedy madmen dwarves mafiosi reprint
68,1853262404,3,generally regarded pre-eminent work conrad shorter fiction 39heart darkness39 chilling horror author intended capable interpretations
259893,1853260053,0,the story simple country girl family pretentions lead destruction
259893,0345410076,0,ray kinsella fanatic love baseball drives build baseball stadium corn field kidnap author jd salinger bring baseball game
75,0451625889,3,this book aims deliver significant scientific progress problem erosion geomaterials focusing mechanicalphysical aspect
79,1569871213,3,a horse nineteenth-century england recounts experiences masters
93198,0451208080,3,arriving london find young woman company unsavory gentleman client stone barrington stumbles deadly rivalry spies implicated horrifying double murder
186958,0451208080,3,arriving london find young woman company unsavory gentleman client stone barrington stumbles deadly rivalry spies implicated horrifying double murder
45114,0380619458,3,an eccentric american inventor moves family jungles central america hopes finding life
45114,0671541749,3,decades original starship enterprise warded conquering furies owned entire alpha quadrant captain picard crew confrontation subject aliens39 mind-altering powers
45114,0451410610,3,jo modern british journalist investigates story sir john franklin ill-fated arctic expedition 1845
133251,0451410610,3,jo modern british journalist investigates story sir john franklin ill-fated arctic expedition 1845
45114,0440507162,3,points bloopers errors equipment oddities plot discrepancies seasons quotstar trek next generationquot includes trivia questions odd facts memorable lines
45114,1551665107,3,jane doe rj kaiser released apr 23 1999 available purchase
201451,1551665107,3,jane doe rj kaiser released apr 23 1999 available purchase
221908,1551665107,3,jane doe rj kaiser released apr 23 1999 available purchase
45114,067179566X,3,newly reissued exciting star trek new york times bestselling author laurell k hamilton
45114,0671028138,3,first published 1997 best-selling star trek novels relate dramatic events surrounding klingon holiday day honor stories originally told star trek series omnibus
144,0425184226,0,peace finally hand middle east - deputy director cia jack ryan lays groundwork peace plan centuries conflict
98230,0425184226,0,peace finally hand middle east - deputy director cia jack ryan lays groundwork peace plan centuries conflict
105908,0425184226,0,peace finally hand middle east - deputy director cia jack ryan lays groundwork peace plan centuries conflict
98230,044651506X,0,fast-paced atmospheric marked entrancing characters incandescent storytelling brilliant comic touches plum island nelson demille thrill-inducing
98230,0399144943,0,major richard caniday office strategic services world war ii spy agency embarks mission smuggle scientist germany the scientist expert jet aircraft sides racing build
151,0375500766,3,but care packages quotstrangers friendsquot profound effect reeveswith introduction chapter dana reeve story marriage family facing ultimate
4694,0061099325,2,jim chee torn role prosecution star witness charged killing friend investigation crime reprint
42176,0446601640,3,restless loner motorcycle rider michael tillman unable resist powerful feelings jellie braden free spirit trapped passionless marriage by author the bridges madison county reprint
67502,0446601640,3,restless loner motorcycle rider michael tillman unable resist powerful feelings jellie braden free spirit trapped passionless marriage by author the bridges madison county reprint
132058,0446601640,3,restless loner motorcycle rider michael tillman unable resist powerful feelings jellie braden free spirit trapped passionless marriage by author the bridges madison county reprint
212179,0446601640,3,restless loner motorcycle rider michael tillman unable resist powerful feelings jellie braden free spirit trapped passionless marriage by author the bridges madison county reprint
178,0345425294,3,by taking gabe wing teaching angelo vestieri learn winter life greater love boy cherishes gangster live savage rules
36917,0345425294,3,by taking gabe wing teaching angelo vestieri learn winter life greater love boy cherishes gangster live savage rules
171024,0345425294,3,by taking gabe wing teaching angelo vestieri learn winter life greater love boy cherishes gangster live savage rules
250269,044651747X,3,the author blockbuster the bridges madison county blends passion adventure story american novelist mexico young lover trip killer
36858,039575514X,3,the reminiscences new york lawyer jim burden boyhood nebraska particularly young bohemian girl named antonia shimerda set backdrop american assimilation immigrants
64747,039575514X,3,the reminiscences new york lawyer jim burden boyhood nebraska particularly young bohemian girl named antonia shimerda set backdrop american assimilation immigrants
127479,039575514X,3,the reminiscences new york lawyer jim burden boyhood nebraska particularly young bohemian girl named antonia shimerda set backdrop american assimilation immigrants
71696,0486284735,3,in early nineteenth-century england spirited young woman copes suit snobbish gentleman romantic entanglements sisters
218491,0486284735,3,in early nineteenth-century england spirited young woman copes suit snobbish gentleman romantic entanglements sisters
218491,0684836491,3,the best-selling author politically correct bedtime stories shares trenchant observations new age world ufo conspiracies internet apocalypse commercialism harmonic convergences numerology intriguing
205431,0684836491,0,the best-selling author politically correct bedtime stories shares trenchant observations new age world ufo conspiracies internet apocalypse commercialism harmonic convergences numerology intriguing
218491,1880284413,3,when emily de soto returns key west working smuggle husband cuban political philosopher hasn39t fourteen years falls love harry apolitical sailor
241,0345354931,0,then horseman and discovered ride night mare master bit spur surrender for night mare began horrible nightmare
165960,0375400117,2,quotcaptivating minutely imagined refuses stay shutquot quotnewsweekquot quotmemoirs geishaquot released movie tie-in edition
165960,0767902890,2,heroic young carry emotional weight lives vietnam patchwork account modern journey heart darkness
97001,0425164403,3,matthew hiller finds caught middle hippocratic oath past potential future beautiful terminally woman married
241626,0451162072,0,when boy persuades parents bury indian cemetary reputed legend house restless spirits nightmare death destruction begins deceased animals back life reissue
48296,0451186648,3,twin cities investigative reporter rick beanblossom family target terrifying copycat crime anniversary 1932 lindberg kidnapping reprint
174605,0679450408,0,years wrongfully accused murder love alison successful san francisco attorney tony lord returns lake city ohio defend friend sam robb charged killing students confront
149395,0061094595,3,cat calder one-time affair gray-eyed stranger passing town produces beautiful child determined raise calder gray-eyed sheriff arrives town vicious gossip ensues reprint
276495,0064471047,2,four english schoolchildren find back wardrobe magic land narnia assist aslan golden lion triumph white witch cursed land eternal winter
10633,0141301104,2,this fairy this real witches grandmamma loves witches real witches dangerous living creatures earth
228466,0141301104,3,this fairy this real witches grandmamma loves witches real witches dangerous living creatures earth
10633,037575699X,2,a middle-aged spaniard impressed fantasy finds books sets servant revive age chivalry
118050,0142001740,2,after quotstand-in motherquot bold black woman named rosaleen insults biggest racists town lily owens joins rosaleen journey tiburon south carolina black bee-keeping sisters
254568,0312305060,5,by stories intertwine remarkable ways finally act subtle haunting grace the hours winner 1999 pulitzer prize fiction
255667,0312305060,5,by stories intertwine remarkable ways finally act subtle haunting grace the hours winner 1999 pulitzer prize fiction
254568,0385504209,5,harvard symbologist robert langdon french cryptologist sophie neveu work solve murder elderly curator louvre case leads clues hidden works da vinci centuries-old secret society
254568,0876591993,5,provides variety games develop brain capacity babies offers information latest brain research
217719,0312868332,3,presents coming-of-age story ordinary boy named sam -- unearthly -- childhood adolescence
9769,0312875681,3,once charles lint weaves mythic traditions cultures seamless cloth bringing folklore music unforgettable characters life modern city streets
185499,0345387651,2,the practices dr wilbur larch -- obstetrician orphanage director ether addict abortionist -- hindered abetted continued turn favorite orphan homer wells
13744,0373226144,0,familiar lullaby caroline burnes released apr 24 2001 available purchase
74622,0373226144,3,familiar lullaby caroline burnes released apr 24 2001 available purchase
242059,0373226144,3,familiar lullaby caroline burnes released apr 24 2001 available purchase
13744,0373226136,0,someone baby dani sinclair released apr 24 2001 available purchase
242059,0373226136,3,someone baby dani sinclair released apr 24 2001 available purchase
189106,0375503269,3,as funny book shows la weirder nowquot -- dave barry vincent rubio los angeles private investigator luck he work his car repossessed
124544,0375751513,3,the handsome appearance dissolute young dorian gray remains unchanged features portrait distorted degeneration progresses
143050,0413537900,0,play version hit adults teenagers alike
208663,0425177009,0,as former lawyer-turned-herbalist china bayles prepares wedding festivities interrupted uncooperative corpse
208663,042515405X,0,china bayles consults psychic answers discovers murdered woman pickup truck bears disturbing resemblance
208663,0425176673,0,sister frevisse leaves medieval convent investigate dirty deeds neighboring measles- sin-ridden village
142439,0425176673,3,sister frevisse leaves medieval convent investigate dirty deeds neighboring measles- sin-ridden village
259811,0441172695,3,the sisterhood bene gesserit plots seize control galaxy-wide empire supernatural leader
187913,0451137965,0,for schools libraries after gypsy woman killed car lawyer billy halleck stricken flesh- wasting malady undertake nightmarish journey confront forces death
15031,0451167317,0,thad beaumont suspicion clues concerning murder lead george stark fictional alter ego beaumont write reissue
228324,0451167317,0,thad beaumont suspicion clues concerning murder lead george stark fictional alter ego beaumont write reissue
157964,0451523415,3,jo beth meg amy mother endure hardships poverty girls39 father away fighting civil war
56607,051510521X,3,shattered loss husband maggie moves back small wisconsin hometown encounters high school sweetheart stuck passionless marriage yearns rekindle flames reissue
176293,051510521X,3,shattered loss husband maggie moves back small wisconsin hometown encounters high school sweetheart stuck passionless marriage yearns rekindle flames reissue
176293,0440130913,3,with latest national bestseller belva plain returns beloved world characters evergreen
187829,0440130913,3,with latest national bestseller belva plain returns beloved world characters evergreen
176293,0515103969,3,a woman love threatened past secrets repackaged classic new york times bestselling author
176293,0380731649,3,a tell-all account life renowned hostess domestic expert recounts rise fame writer television star uncovers secrets pristine image
176293,037328702X,3,wedding day vows laurie paige released sep 24 1991 available purchase
183869,0553293761,0,with developers clamoring valuable kilkullen ranch successful photographer jazz kilkullen fight retain control family land by author princess daisy scruples reprint ab
79006,059043893X,3,it story eskimo boy amp team dogs amp survive rigorous journey north country
30921,0618002227,3,in sleepy village shire young frodo baggins finds immense task elderly cousin bilbo entrusts ring
115598,0670035262,3,a collection stories poems variety authors relating green man myths forest
63833,0671015311,3,ursula blanchard widowed young mother lady-in-waiting queen elizabeth i finds center plot disgrace threaten life her majesty reprint
154067,0679751343,3,presents novellas -- quotthe conjugal angelquot reveals human preoccupation god life death quotmorpho eugeniaquot gothic fable victorian obsessions darwinism sexuality
263123,0684872153,2,quotwhen i back childhood i wonder i managed survive
63982,0684874350,2,the author recounts childhood depression-era brooklyn child irish immigrants decide return worse poverty ireland infant sister 40000 printing 35000 adpromo
221906,0812516214,3,newford citizens -- fey folk magicians hustlers painters fiddlers ordinary -- stumble headfirst enchanting adventures
136474,1551667959,3,7b stella cameron released feb 22 2001 available purchase
151458,1551667959,3,7b stella cameron released feb 22 2001 available purchase
